0   -0
0.125   -2.74541e-05
0.25   -3.05888e-05
0.375   -3.02256e-05
0.5   -4.04971e-05
0.625   -3.23492e-05
0.75   -3.57776e-05
0.875   -6.07009e-05
1   -6.74906e-05
1.125   -5.5546e-05
1.25   -7.47715e-05
1.375   -8.87985e-05
1.5   -8.92722e-05
1.625   -0.000107251
1.75   -0.000103823
1.875   -0.000118526
2   -0.000135799
2.125   -0.000150423
2.25   -0.000158608
2.375   -0.00016298
2.5   -0.000158988
2.625   -0.000196351
2.75   -0.00020746
2.875   -0.000226041
3   -0.000234279
3.125   -0.000230634
3.25   -0.000257179
3.375   -0.000298642
3.5   -0.000351359
3.625   -0.000376931
3.75   -0.000449523
3.875   -0.00051301
4   -0.000627898
4.125   -0.000680701
4.25   -0.000778976
4.375   -0.000811214
4.5   -0.000923554
4.625   -0.00102512
4.75   -0.00124931
4.875   -0.00131986
5   -0.00154867
5.125   -0.00173725
5.25   -0.00176337
5.375   -0.00224542
5.5   -0.00312375
5.625   -0.00398061
5.75   -0.00462693
5.875   -0.0072609
6   -0.00632277
6.125   -0.00432538
6.25   -0.00454758
6.375   -0.00343705
6.5   -0.00323038
6.625   -0.00307382
6.75   -0.00337077
6.875   -0.00373122
7   -0.00365234
7.125   -0.00370561
7.25   -0.00374728
7.375   -0.00360743
7.5   -0.00391975
7.625   -0.00370068
7.75   -0.0037853
7.875   -0.00355279
8   -0.00355286
8.125   -0.00370151
8.25   -0.00367914
8.375   -0.00341874
8.5   -0.00355855
8.625   -0.00390831
8.75   -0.00323516
8.875   -0.0036482
9   -0.00345041
9.125   -0.0033056
9.25   -0.00347214
9.375   -0.00321633
9.5   -0.00320953
9.625   -0.00323985
9.75   -0.00339248
9.875   -0.00344941
